IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
18.170.127.158,4,4,0.00,183.78,0.00
2.16.27.97,4,4,0.00,183.95,0.00
2.16.27.81,4,4,0.00,184.13,0.00
5.100.156.30,4,4,0.00,184.20,0.00
2.16.27.91,4,4,0.00,184.22,0.00
18.135.89.33,4,4,0.00,184.36,0.00
82.112.239.157,4,4,0.00,184.78,0.00
5.100.156.127,4,4,0.00,184.82,0.00
2.16.27.81,4,4,0.00,184.98,0.00
5.100.156.27,4,4,0.00,185.09,0.00
2.16.27.70,4,4,0.00,185.12,0.00
5.100.156.28,4,4,0.00,185.21,0.00
18.168.169.161,4,4,0.00,185.33,0.00
27.124.125.171,4,4,0.00,185.46,0.00
5.100.156.138,4,4,0.00,185.48,0.00
2.16.27.79,4,4,0.00,185.57,0.00
2.16.27.83,4,4,0.00,185.61,0.00
13.43.209.145,4,4,0.00,185.63,0.00
13.40.185.62,4,4,0.00,186.03,0.00
5.100.156.158,4,4,0.00,186.11,0.00
2.16.27.87,4,4,0.00,186.15,0.00
18.132.55.27,4,4,0.00,186.30,0.00
27.124.125.171,4,4,0.00,186.40,0.00
18.133.59.160,4,4,0.00,186.72,0.00
46.23.69.44,4,4,0.00,186.82,0.00
77.55.165.84,4,4,0.00,186.88,0.00
2.16.27.81,4,4,0.00,186.91,0.00
192.248.156.140,4,4,0.00,187.10,0.00
2.16.27.81,4,4,0.00,187.38,0.00
2.16.27.83,4,4,0.00,187.54,0.00
18.133.202.134,4,4,0.00,187.59,0.00
85.13.235.102,4,4,0.00,187.62,0.00
2.16.27.83,4,4,0.00,187.65,0.00
18.130.191.2,4,4,0.00,187.75,0.00
2.16.27.81,4,4,0.00,187.99,0.00
5.100.154.31,4,4,0.00,188.35,0.00
89.187.86.9,4,4,0.00,188.38,0.00
2.16.27.81,4,4,0.00,188.54,0.00
2.16.27.81,4,4,0.00,188.68,0.00
2.16.27.83,4,4,0.00,188.76,0.00
5.100.156.59,4,4,0.00,188.83,0.00
18.132.232.108,4,4,0.00,188.85,0.00
46.23.69.44,4,4,0.00,188.94,0.00
46.23.69.44,4,4,0.00,188.94,0.00
3.5.245.179,4,4,0.00,189.05,0.00
2.16.27.83,4,4,0.00,189.35,0.00
5.100.154.31,4,4,0.00,189.44,0.00
2.16.27.81,4,4,0.00,189.53,0.00
5.100.154.31,4,4,0.00,189.78,0.00
18.135.155.72,4,4,0.00,190.15,0.00
2.16.27.90,4,4,0.00,190.23,0.00
2.16.27.79,4,4,0.00,190.53,0.00
5.100.154.31,4,4,0.00,190.55,0.00
2.16.27.85,4,4,0.00,190.55,0.00
82.29.87.102,4,4,0.00,190.57,0.00
5.100.156.211,4,4,0.00,190.62,0.00
2.16.27.83,4,4,0.00,190.71,0.00
5.100.156.12,4,4,0.00,190.84,0.00
46.23.69.44,4,4,0.00,190.85,0.00
5.100.154.31,4,4,0.00,191.10,0.00
52.95.148.14,4,4,0.00,191.18,0.00
13.42.88.138,4,4,0.00,191.30,0.00
163.167.82.35,4,4,0.00,191.32,0.00
2.16.27.89,4,4,0.00,191.38,0.00
5.100.154.31,4,4,0.00,191.44,0.00
146.169.13.6,4,4,0.00,191.64,0.00
2.16.27.81,4,4,0.00,191.67,0.00
2.16.27.83,4,4,0.00,191.92,0.00
2.16.27.81,4,4,0.00,192.05,0.00
5.100.154.31,4,4,0.00,192.19,0.00
2.16.27.81,4,4,0.00,192.54,0.00
5.100.154.31,4,4,0.00,192.65,0.00
2.16.27.81,4,4,0.00,192.96,0.00
2.16.27.83,4,4,0.00,193.00,0.00
185.87.255.11,4,4,0.00,193.06,0.00
5.100.154.31,4,4,0.00,193.09,0.00
5.100.156.9,4,4,0.00,193.09,0.00
85.90.231.141,4,4,0.00,193.12,0.00
2.16.27.83,4,4,0.00,193.14,0.00
2.16.27.81,4,4,0.00,193.21,0.00
18.133.150.172,4,4,0.00,193.27,0.00
88.202.224.147,4,4,0.00,193.38,0.00
5.100.156.222,4,4,0.00,193.50,0.00
2.16.27.69,4,4,0.00,193.76,0.00
18.133.202.134,4,4,0.00,193.88,0.00
5.100.156.30,4,4,0.00,193.92,0.00
5.100.156.108,4,4,0.00,194.03,0.00
45.76.132.104,4,4,0.00,194.18,0.00
176.67.164.6,4,4,0.00,194.18,0.00
185.195.65.204,4,4,0.00,194.52,0.00
5.100.154.31,4,4,0.00,194.59,0.00
5.100.156.76,4,4,0.00,194.71,0.00
149.102.153.56,4,4,0.00,194.97,0.00
5.100.154.31,4,4,0.00,194.99,0.00
2.16.27.83,4,4,0.00,195.08,0.00
18.168.169.161,4,4,0.00,195.35,0.00
27.124.125.171,4,4,0.00,195.41,0.00
5.100.154.31,4,4,0.00,195.52,0.00
5.100.154.31,4,4,0.00,195.58,0.00
5.100.156.137,4,4,0.00,195.77,0.00
157.173.216.229,4,4,0.00,195.81,0.00
2.16.27.88,4,4,0.00,195.96,0.00
144.21.51.195,4,4,0.00,196.21,0.00
27.124.125.171,4,4,0.00,196.36,0.00
5.100.156.152,4,4,0.00,196.55,0.00
5.100.154.31,4,4,0.00,197.15,0.00
5.100.154.31,4,4,0.00,197.18,0.00
82.112.229.69,4,4,0.00,197.27,0.00
5.100.156.12,4,4,0.00,197.29,0.00
5.100.154.31,4,4,0.00,197.30,0.00
82.112.230.121,4,4,0.00,197.30,0.00
88.202.224.149,4,4,0.00,197.57,0.00
13.41.227.142,4,4,0.00,197.62,0.00
141.98.26.36,4,4,0.00,197.65,0.00
2.16.27.83,4,4,0.00,197.85,0.00
27.124.125.171,4,4,0.00,197.85,0.00
2.16.27.81,4,4,0.00,198.27,0.00
82.29.87.102,4,4,0.00,198.35,0.00
2.16.27.81,4,4,0.00,198.37,0.00
2.16.27.97,4,4,0.00,198.39,0.00
5.100.154.31,4,4,0.00,198.42,0.00
82.112.239.147,4,4,0.00,198.45,0.00
5.100.156.113,4,4,0.00,198.50,0.00
5.100.154.31,4,4,0.00,198.62,0.00
2.16.27.79,4,4,0.00,198.62,0.00
2.16.27.80,4,4,0.00,198.67,0.00
5.100.154.31,4,4,0.00,198.69,0.00
82.112.229.164,4,4,0.00,198.71,0.00
5.100.154.31,4,4,0.00,198.75,0.00
2.16.27.71,4,4,0.00,198.86,0.00
2.16.27.99,4,4,0.00,199.08,0.00
2.16.27.81,4,4,0.00,199.76,0.00
35.178.110.68,4,4,0.00,199.82,0.00
2.16.27.83,4,4,0.00,199.88,0.00
89.187.73.148,4,4,0.00,199.98,0.00
